肯尼亚航空: 肯尼亚
加雷姆航空: 斯加雷姆航空,俄罗斯加雷姆航空
Yanair: 乌克兰燕航空
吉尔吉斯斯坦航空公司: 吉尔吉斯斯坦,吉尔吉斯斯坦航空
SriwijayaAir: 三佛齐航空
ScottAir: 斯科特航空
诺德文德航空公司: 诺德文德,诺德文德航空
玻利维亚航空公司: 玻利维亚航空
TradewindsAirlines: 信风航空
ArikAir: 阿利克航空
BritishAirtours航空公司: BritishAirtours航空
SkyWings: 天空之翼航空公司
AZUL-LinhasAereasBrasileiras: LinhasAereasBrasileiras
飞龙航空公司: 飞龙航空,飞龙
ThaiSmileAirwaysCompanyLimited: 泰国微笑航空
德威航空公司: 德威航空,德威
EznisAirwaysCo.Ltd.: 伊斯尼斯航空
AtlasGlobalAirlines: Atlasglobal
缅甸航空公司: 缅甸航空
施莱纳航空公司公司: 施莱纳航空
TulipAir: 郁金香航空
ShaheenAir: 沙欣航空公司
柬埔寨洞里萨航空: 洞里萨航空,洞里萨
空桥货运航空公司: 空桥货运航空,空桥货运
塔吉克斯坦航空公司: 塔吉克斯坦,塔吉克斯坦航空
太阳之翼航空公司: SunwingAirlines
布拉森斯区域航空公司: 布拉森斯,布拉森斯区域航空
巴伐利亚: 巴伐利亚航空,BPA
Globus航空公司: Globus航空,Globus
斯凯威航空公司: 斯凯威航空,斯凯威
乌兹别克斯坦航空公司: 乌兹别克斯坦,乌兹别克斯坦航空
SmartLynx: SmartLynx航空公司
Zip: ZIP航空
AzmanAirServicesLimited: 阿兹曼航空
马尔代夫美佳航空公司: 西伯利亚泛空,美佳航空
安琪航空公司: 安琪,安琪航空
云南英安航空公司: 英安航空
Aeromar: 大湖航空
TransafrikInternational: 泛非国际航空
蒙古航空公司: 蒙古,蒙古航空
卢森堡意大利航空公司: 卢森堡意大利航空
OLTExpressGermany: OLT航空公司
泰国新时代航空公司: 泰国新时代航空
柬埔寨百善航空公司: 百善航空公司
西伯利亚航空公司: 西伯利亚,西伯利亚航空
HelittLíneasAéreas: Helitt航空
SkyserviceAirlines: 服务航空公司
伊朗旅行航空公司: 伊朗旅行,伊朗航空旅行
香港华民航空: 香港,香港华民
TransliftAirways: 泛空运航空公司
匈奴航空公司: 蒙古,匈奴航空
基什航空航空公司: 基什航空航空
印尼城市快线航空公司: 印尼城市快线航空,印度尼西亚城市快线航空
SkyAirline: 天空航空公司
BigSkyAirlines: 大天空航空公司
VAirCorporation: 威航,台湾威航空
TransTravelAirlines: 美国海外航空
文莱皇家航空公司: 文莱皇家航空,文莱皇家
索蒙航空公司: 索蒙,索蒙航空
塞内加尔航空公司: TRANSAIR
伊拉克航空公司: 伊拉克航空,伊拉克
SunCountryAirlines: 阳光之乡航空
日本货运航空公司: 日本货运航空,日本货运
MayaIslandAir: 马雅岛航空公司
Bukovyna航空公司: Bukovyna航空
BoraJet航空公司: BoraJet,BoraJet航空
AirTahitiNui（THT）: 大溪地航空（THT）
AircompanySomonAirLLC: 索门航空公司
